"orig.ident","nCount_RNA","nFeature_RNA","main_cell_type.pred","main_cell_type.pred_prob","UMAP1","UMAP2","celltype.pred.combined","Monocyte.pred","Monocyte.pred_prob","Monocyte.UMAP1","Monocyte.UMAP2","T cell.pred","T cell.pred_prob","T cell.UMAP1","T cell.UMAP2"
"Pan",5194,1978,"NK cell",1,10.4675540924072,10.5691785812378,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3480,1576,"NK cell",1,11.1181707382202,10.5344524383545,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4309,1844,"NK cell",1,10.949670791626,10.4721994400024,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6101,2365,"NK cell",1,10.9945516586304,10.9047775268555,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4866,2001,"NK cell",1,10.8835592269897,10.7902717590332,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4045,1808,"NK cell",1,11.4859809875488,10.3530807495117,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3992,1770,"NK cell",1,11.4682836532593,10.5687084197998,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4138,1857,"NK cell",1,11.4659118652344,10.7237796783447,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4289,2084,"NK cell",0.8,10.5258302688599,10.6477031707764,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3173,1295,"NK cell",1,10.7860422134399,10.2009162902832,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4889,1973,"NK cell",1,11.2965335845947,10.2627210617065,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4885,1903,"NK cell",0.8,10.4968872070312,10.5061836242676,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4313,1907,"NK cell",1,11.3381481170654,10.6162366867065,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4759,1807,"NK cell",1,11.2780675888062,10.3149881362915,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4777,1961,"NK cell",1,10.6581354141235,10.5686292648315,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4972,1871,"NK cell",1,11.3906526565552,10.328408241272,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4401,1937,"NK cell",1,11.3720855712891,10.5342378616333,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4632,1820,"NK cell",1,11.0991182327271,10.1574726104736,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3274,1415,"NK cell",1,10.8781385421753,10.1994714736938,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6024,2172,"NK cell",1,11.6080446243286,10.5820178985596,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3797,1886,"NK cell",1,11.4385776519775,10.7834129333496,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3164,1474,"NK cell",1,11.0816841125488,10.4455528259277,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3857,1446,"NK cell",0.8,10.4054718017578,10.4486141204834,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3842,1645,"NK cell",1,11.3450984954834,10.287935256958,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",8037,2788,"NK cell",1,11.088623046875,10.9312429428101,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4214,1761,"NK cell",1,11.2088804244995,10.3505945205688,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4353,1797,"NK cell",0.8,10.3096132278442,10.5332765579224,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4536,1860,"NK cell",1,11.4683837890625,10.4281177520752,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5866,2123,"NK cell",1,11.1084251403809,10.3513460159302,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6938,2570,"NK cell",1,11.6169347763062,10.5044565200806,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6205,2227,"NK cell",1,11.4454050064087,10.3558492660522,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",2483,1147,"NK cell",1,10.4369735717773,10.3178615570068,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4742,1866,"NK cell",1,11.3325338363647,10.3415079116821,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5819,2203,"NK cell",1,11.357476234436,10.739465713501,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",6030,2281,"NK cell",1,11.0759525299072,10.810510635376,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3798,1690,"NK cell",0.8,10.9162931442261,10.5629587173462,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5936,2323,"NK cell",1,11.1562633514404,10.8741493225098,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",9086,3015,"NK cell",1,11.0293626785278,10.7976408004761,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",7004,2484,"NK cell",1,11.3956813812256,10.591869354248,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5696,2155,"NK cell",1,11.5263757705688,10.3297271728516,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3545,1487,"NK cell",1,11.1768798828125,10.1761512756348,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4390,1824,"NK cell",1,11.2671489715576,10.4789447784424,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4496,1801,"NK cell",0.8,11.3330993652344,10.2701330184937,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3413,1592,"NK cell",1,10.9734287261963,10.6113357543945,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5796,2262,"NK cell",1,10.9955749511719,10.8025674819946,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4670,1815,"NK cell",1,11.0384769439697,10.5511627197266,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5135,2098,"NK cell",1,11.6458320617676,10.4473514556885,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3965,1768,"NK cell",1,11.4324750900269,10.3351202011108,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3181,1518,"NK cell",1,11.3965883255005,10.5423526763916,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3335,1526,"NK cell",1,10.4571199417114,10.4455280303955,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",5855,2228,"NK cell",1,11.4853477478027,10.418797492981,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3295,1544,"NK cell",1,11.2013940811157,10.4999570846558,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",3909,1652,"NK cell",1,10.5425853729248,10.5585079193115,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4539,1800,"NK cell",1,10.9669933319092,10.2887849807739,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
"Pan",4494,1834,"NK cell",1,11.5381870269775,10.4697685241699,"NK cell",NA,NA,NA,NA,NA,NA,NA,NA
